nuts,SD,EPP,EAF,G,ALDE,NI,GUE,ECR,UEN,electorate,voters
DEG02,5079,10183,0,2163,3074,0,12279,0,0,85869,38395
DEG03,8603,10103,0,6655,4176,0,10246,0,0,85405,45606
DEG04,2123,3569,0,886,1214,0,5784,0,0,34286,15768
DEG05,3895,7615,0,4130,2325,0,5927,0,0,51991,27434
DEG06,5463,25835,0,1917,4199,0,6351,0,0,88206,50804
DEG07,7473,10996,0,1865,3335,0,10339,0,0,76936,38633
DEG09,8358,15844,0,1744,3883,0,9544,0,0,92720,46124
DEG0A,6150,10891,0,1300,2628,0,9544,0,0,71971,35978
DEG0B,8393,17859,0,2847,4636,0,14304,0,0,114280,58087
DEG0C,11774,20097,0,3061,4665,0,13164,0,0,118783,62490
DEG0D,4315,11382,0,1245,2773,0,8086,0,0,63315,33076
DEG0E,4635,9555,0,1171,2417,0,8225,0,0,58965,31078
DEG0F,7382,15549,0,2806,3711,0,12404,0,0,96306,50446
DEG0G,5421,13241,0,2115,3515,0,8011,0,0,71768,38656
DEG0H,3625,7635,0,854,1929,0,7642,0,0,53125,25623
DEG0I,7655,15070,0,2256,4577,0,13208,0,0,102699,52353
DEG0J,5568,13231,0,2068,3929,0,10603,0,0,74443,42042
DEG0K,5983,12236,0,1727,3568,0,9955,0,0,76302,40236
DEG0L,6911,16325,0,2243,4931,0,11173,0,0,95446,49777
DEG0M,6509,12647,0,1451,3495,0,9634,0,0,87650,40219
DEG0N,3066,4996,0,1392,1281,0,4221,0,0,35760,17567
DEG0P,10207,20177,0,2605,4240,0,13067,0,0,113922,60194
DE1,689812,1478135,0,572267,537100,0,114105,0,0,7635842,3819525
DE2,507527,1896762,0,455032,356506,0,91733,0,0,9386096,3946604
DE3,161635,208395,0,202437,74522,0,126442,0,0,2473787,858350
DE4,142615,140616,0,52889,46367,0,162687,0,0,2127871,626316
DE5,55064,45886,0,41476,16721,0,13468,0,0,488095,187648
DE6,109766,128443,0,88823,48225,0,29181,0,0,1256701,432633
DE7,400623,596878,0,246535,207253,0,63407,0,0,4402792,1639087
DE8,104231,201447,0,34450,47170,0,146305,0,0,1403333,623003
DE9,668545,962510,0,305758,251167,0,97328,0,0,6112225,2453238
DEA,1410141,2091945,0,688272,678273,0,252475,0,0,13308501,5504000
DEB,426272,660252,0,157966,184838,0,57455,0,0,3104297,1657035
DEC,120676,162696,0,34860,36536,0,54570,0,0,809356,453448
DED,188503,567231,0,107621,157530,0,321988,0,0,3526777,1605556
DEE,132868,213731,0,39882,62900,0,173385,0,0,2035415,734073
DEF,200370,308368,0,109768,102891,0,31715,0,0,2233570,813276
DEG,153918,304858,0,56473,80085,0,232995,0,0,1918215,979652
DK0,503439,297199,413401,371603,2916263,0,168555,0,0,4057100,0
EE001,9748,18770,0,0,70180,32053,0,0,0,344572,0
EE004,3839,4434,0,0,13655,13433,0,0,0,128003,0
EE006,3165,3990,0,0,11908,11179,0,0,0,106248,0
