FR411	Meurthe-et-Moselle	1999	12330	13411	44083	19114	3540	77	6728	1956	0	717	3596	0	2	1524	0	21121	18844	25483	12316	6200	469980	202310	191042	11268	267670
FR412	Meuse	1999	3083	2468	12524	4963	1142	0	4607	591	0	349	1165	0	4	278	0	7210	7724	8794	4365	2327	139781	66678	61594	5084	73103
FR524	Morbihan	1999	10354	11518	49685	23047	3462	69	16459	2430	5	1102	4211	1	19	1492	0	36962	24081	24390	11339	3607	482709	237842	224233	13609	244867
FR413	Moselle	1999	15810	10752	53337	26383	5641	13	5316	3086	0	1359	5656	0	0	1747	0	32963	25873	31238	22410	11140	703206	271197	252724	18473	432009
FR262	Nièvre	1999	3832	7872	21815	5359	907	0	5017	672	0	386	1228	1	13	415	0	8612	5245	9017	3934	1753	172172	82238	76078	6160	89934
FR301	Nord	1999	49361	68670	160746	61652	13216	213	51269	10929	18	3099	14248	45	107	5053	0	80786	61731	86088	60415	22583	1695850	801833	750229	51604	894017
FR222	Oise	1999	14652	15052	44266	19124	3923	0	13247	2773	27	1063	4457	20	8	1638	0	26260	15691	30301	22173	9825	497801	238872	224500	14372	258929
FR253	Orne	1999	4726	3605	18365	8339	1502	18	9822	1123	24	611	2003	2	2	692	0	14756	10534	13567	6055	2262	213404	105097	98008	7089	108307
FR302	Pas-de-Calais	1999	33972	45073	109617	31685	7590	141	55866	8483	18	2492	8885	30	20	2917	0	44039	27198	49286	31768	11269	1033441	508587	470349	38238	524854
FR724	Puy-de-Dôme	1999	11930	13374	50190	17024	2750	43	7619	1863	1	544	2883	9	63	1427	0	23042	19047	24348	6617	3996	418129	201269	186770	14499	216860
FR615	Pyrénées-Atlantiques	1999	10357	11376	49539	18830	2518	12	23891	3087	0	732	3125	1	92	931	0	20643	40064	21549	6903	3892	441431	230778	217542	13236	210653
FR626	Hautes-Pyrénées	1999	4418	7374	21173	6336	919	0	10516	766	0	321	1415	0	107	512	0	6711	10101	8458	2550	1386	169976	89159	83063	6096	80817
FR815	Pyrénées-Orientales	1999	5933	11135	27324	9670	1811	7	11572	987	0	433	1979	0	5	1024	0	12676	10578	17994	9218	5679	273009	135446	128025	7421	137563
FR421	Bas-Rhin	1999	12696	5438	44609	33143	8955	29	4227	2644	0	1590	6478	0	11	1773	0	39330	42785	27024	23465	10536	664476	284046	264733	19313	380430
FR422	Haut-Rhin	1999	8985	4424	33554	21475	9203	39	2735	1768	0	984	4444	0	31	1363	0	26241	25607	19779	14822	9990	468114	199570	185444	14126	268544
FR716	Rôhne	1999	18853	22658	82289	43789	6156	71	9858	2992	1	882	6216	91	85	3285	0	51523	45317	57864	26028	17653	907075	411864	395611	16253	495211
FR433	Haute-Saône	1999	4157	3863	18365	6440	1279	18	6620	761	0	452	1519	0	2	487	0	12310	5860	10117	5737	2910	172950	88753	80897	7856	84197
FR263	Saône-et-Loire	1999	7660	11101	40429	12563	1857	0	12933	1567	0	721	2881	0	10	1430	0	22271	14337	20406	7183	4723	398599	175726	162072	13654	222873
FR514	Sarthe	1999	8991	10609	36678	14510	2418	73	8010	1704	0	1023	2845	0	3	1126	0	22063	14259	19867	7495	2959	380811	167984	154633	13351	212827
FR717	Savoie	1999	4959	6708	22880	11677	1824	4	4145	955	0	354	1848	5	41	1096	0	15315	9442	14573	4948	3706	254187	111660	104480	7180	142527
FR718	Haute-Savoie	1999	6557	6627	29278	20938	3708	58	5335	1236	0	567	3315	0	70	2045	0	23071	19204	22998	8306	5265	397778	169752	158578	11174	228026
FR101	Paris	1999	27214	24756	106693	89812	6295	24	5166	3814	0	574	8306	1096	113	2173	2	90804	57314	64401	23325	15984	1036107	543738	527866	15872	492369
FR232	Seine-Maritime	1999	25467	33321	84696	33923	5912	0	22171	4581	0	1410	6536	0	0	2355	0	42175	28911	43555	22415	12149	825556	393389	369577	23812	432167
FR102	Seine-et-Marne	1999	17536	20498	62431	32854	5441	0	12153	3002	0	945	7118	0	0	2309	0	39016	23962	43558	21289	13011	696251	320515	305123	15392	375736
FR103	Yvelines	1999	16575	18700	76469	45069	5943	42	10390	3485	14	739	8795	5	89	2912	0	60783	46506	56002	19974	13910	819043	401091	386402	14689	417952
FR533	Deux-Sèvres	1999	5201	4432	29842	11292	1592	1	9883	1526	0	656	2087	2	6	565	0	14006	12987	16096	3598	1462	261445	125699	115234	10465	135746
FR223	Somme	1999	11843	16649	33791	12343	2377	72	56422	1967	5	905	3142	18	15	1057	0	17546	14903	19887	11376	4254	392998	222045	208572	13473	170953
FR627	Tarn	1999	6502	8020	34354	10659	1904	54	10156	1500	0	612	2077	1	6	1376	0	14986	10416	17608	6520	3727	256670	142761	130478	12283	113909
FR628	Tarn-et-Garonne	1999	3569	4237	17250	6167	965	0	9109	748	1	354	1205	0	0	619	0	8121	5562	10472	4380	2389	151510	81368	75148	6220	70142
FR825	Var	1999	10527	16947	46805	20578	4232	30	19461	1938	1	710	4413	2	11	1704	0	30829	19114	51392	22395	16506	613499	279130	267595	11535	334369
FR826	Vaucluse	1999	6525	9995	28881	14556	2540	5	12377	1218	0	642	2466	0	42	1720	0	17660	9598	23932	13713	9559	328575	164551	155429	9122	164024
FR515	Vendée	1999	6223	6071	38151	14976	2385	58	15211	1928	0	926	2860	0	9	1412	0	18689	17793	62920	5205	2397	409614	211685	197214	14471	197929
FR534	Vienne	1999	6946	7874	30494	13188	1683	5	12719	1658	3	744	2300	0	5	884	0	16603	12972	14821	4733	2580	283754	140434	130212	10222	143320
