FR714	Isère	2004	97469	43818	34324	27654	15246	30358	15022	1992	9052	0	3913	4846	2615	161	67	959	4580	416	0	7	17	0	0	0	11	0	45	0	0	0	0	0	0	0	0	0	0	0	0	10	0	730711	299776	292582	7194	430935
FR715	Loire	2004	57229	37267	21785	21138	11489	13532	8993	1497	5039	0	2741	3698	1843	86	0	811	3153	0	0	1	3	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487900	196330	190343	5987	291570
FR716	Rôhne	2004	112494	73032	58551	39701	27335	36411	14744	2131	8242	0	3010	6532	3457	91	59	1295	6023	552	0	0	26	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	942213	401665	393993	7672	540548
FR717	Savoie	2004	31028	21597	12782	10402	5767	10604	4993	686	2715	0	1355	1666	929	344	29	307	2099	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	437	0	270744	111113	107913	3200	159631
FR718	Haute-Savoie	2004	41492	33074	25349	17783	11077	17379	4237	970	3395	0	1939	2903	1884	458	28	632	3465	291	0	0	8	0	0	0	39	0	19	0	0	0	0	0	0	0	0	0	0	0	0	687	0	437469	171935	167109	4826	265534
FR721	Allier	2004	31562	21519	10465	9303	6893	5855	14349	1029	2694	0	2131	0	1536	178	14	450	2050	243	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255371	115550	110273	5277	139821
FR722	Cantal	2004	14568	14693	5301	2848	2243	2767	2210	444	580	0	1955	0	462	44	2	143	949	95	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123558	51539	49306	2233	72019
FR723	Haute-Loire	2004	19785	18479	7451	7422	3698	4921	2739	744	1936	0	1358	0	780	105	15	341	1240	148	0	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168410	74881	71172	3709	93529
FR724	Puy-de-Dôme	2004	68116	40782	18804	12796	8229	13189	10524	1500	5959	0	2880	0	1892	256	37	811	3467	301	0	88	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	431294	196857	189650	7207	234437
FR811	Aude	2004	38792	14789	9145	11699	4822	7256	8398	919	3332	0	3617	2448	906	57	15	458	1946	118	0	0	0	5	633	17	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242720	115332	109422	5910	127388
FR812	Gard	2004	44239	27496	22326	24877	9668	14128	18464	1680	5268	0	5058	4835	1425	496	9	825	3093	255	0	0	6	1	784	10	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	455192	194038	184989	9049	261154
FR813	Hérault	2004	72569	38893	30996	32655	14251	25268	20452	2246	7810	0	8332	6093	2061	644	6	1108	4106	323	0	0	3	0	1009	4	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	655213	279131	268870	10261	376082
FR814	Lozère	2004	5879	6053	4577	1760	1289	2066	1513	180	694	0	910	873	204	16	0	74	477	37	0	0	0	0	81	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59186	28019	26684	1335	31167
FR815	Pyrénées-Orientales	2004	33297	17940	12703	14580	5851	8486	9288	950	3256	0	3318	3351	929	312	2	444	2081	154	3	0	12	48	808	3	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	296164	123267	117970	5297	172897
FR821	Alpes-de Haute-Provence	2004	15569	9174	4250	5266	2711	3914	3405	415	1538	0	1960	1222	442	16	5	470	968	75	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112613	53421	51402	2019	59192
FR822	Haute Alpes	2004	13642	7393	5041	3691	2213	3816	2064	217	1241	0	1617	837	532	25	0	389	736	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97709	45270	43509	1761	52439
FR823	Alpes-Maritimes	2004	64282	55264	28837	37248	17378	16200	11415	1078	4222	0	2550	6936	2051	70	112	2208	4431	257	0	8	30	0	0	0	65	0	13	0	0	0	0	0	0	0	0	0	0	0	0	15	0	677404	260501	254670	5831	416903
FR824	Bouches-du-Rôhne	2004	129236	68609	41909	64475	23591	31469	34073	2813	11037	0	8676	10004	3095	123	74	6052	6083	633	0	1	58	0	0	0	10	0	46	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1179518	454483	442075	12408	725035
FR825	Var	2004	65401	48837	26966	38989	20142	14014	11752	1482	5098	0	6103	7729	2143	75	64	2408	4235	318	0	10	14	0	0	0	132	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	667831	262872	255916	6956	404959
FR826	Vaucluse	2004	40025	22384	14016	26448	8602	10027	6700	884	3507	0	3806	3501	1348	157	28	1511	2438	190	0	2	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	350744	150570	145599	4971	200174
FR831	Corse-du-Sud	2004	5800	6351	1439	2462	808	1897	2862	78	381	0	401	1132	94	1	2	63	260	61	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	88535	24599	24102	497	63936
FR832	Haute-Corse	2004	8490	7422	1539	2064	677	1648	3254	101	456	0	583	2236	122	25	6	90	307	12	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	2	0	107565	29646	29038	608	77919
FR910	Gaudeloupe	2004	2654	6173	2300	716	0	19430	0	0	834	0	0	730	312	0	0	0	13	199	12	3	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7582	34	0	0	289620	44857	41022	3835	244763
FR920	Martinique	2004	3443	3502	16963	541	0	1267	0	0	3196	0	0	622	410	0	0	0	0	0	9	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14963	0	0	0	272021	48819	44935	3884	223202
